"","squares","SAR","oxyautumn","oxyspring","oxysummer","oxywinter"
"1","1602:141:489:2",0,2.88466348648071,2.11738963921865,2.72015510400136,3.28234014511108
"2","1602:142:380:1",0,2.88466348648071,2.11738963921865,2.72015510400136,3.28234014511108
"3","1602:142:380:2",0,3.17912839253743,2.85989133516947,2.88668962319692,3.76843004226685
"4","1602:142:381:1",0,3.17912839253743,2.85989133516947,2.88668962319692,3.76843004226685
"5","1602:141:479:4",0,2.29742769400279,1.64812444845835,1.83645892143249,2.84106775124868
"6","1602:142:370:3",0,2.29742769400279,1.64812444845835,1.83645892143249,2.84106775124868
"7","1602:142:370:4",0,2.60278125603994,2.51587172349294,2.12761383851369,3.2175607363383
"8","1602:142:371:3",0,2.60278125603994,2.51587172349294,2.12761383851369,3.2175607363383
"9","1602:142:371:4",0,2.65994656085968,2.85286191304525,2.35034785270691,3.21644689242045
"10","1602:142:372:3",0,2.65994656085968,2.85286191304525,2.35034785270691,3.21644689242045
"11","1602:142:372:4",0,2.95352426369985,3.31590689023336,2.89732421239217,3.41767145792643
"12","1602:142:373:3",0,2.95352426369985,3.31590689023336,2.89732421239217,3.41767145792643
"13","1602:142:373:4",0,3.03834757804871,3.51244676907857,2.98849997520447,3.38313428560893
"14","1602:142:374:3",0,3.03834757804871,3.51244676907857,2.98849997520447,3.38313428560893
"15","1602:142:374:4",0,3.15738712946574,3.81415093739827,3.1723845799764,3.4088925520579
"16","1602:142:475:3",0,3.15738712946574,3.81415093739827,3.1723845799764,3.4088925520579
"17","1602:141:478:2",0,2.84992760022481,2.22091993490855,2.39615964889526,3.32099734942118
"18","1602:141:479:1",0,2.84992760022481,2.22091993490855,2.39615964889526,3.32099734942118
"19","1602:141:479:2",0,2.68667208353678,2.50972494284312,2.38508546352386,3.27930135726929
"20","1602:142:370:1",0,2.68667208353678,2.50972494284312,2.38508546352386,3.27930135726929
"21","1602:142:370:2",0,2.79602065881093,2.80598005453746,2.46614662011464,3.43090674082438
"22","1602:142:371:1",0,2.79602065881093,2.80598005453746,2.46614662011464,3.43090674082438
"23","1602:142:371:2",0,2.7938197851181,2.90367115338643,2.51296122074127,3.39785725275675
"24","1602:142:372:1",0,2.7938197851181,2.90367115338643,2.51296122074127,3.39785725275675
"25","1602:142:372:2",0,2.83071688016256,2.83802801767985,2.58270402749379,3.24556527137756
"26","1602:142:373:1",0,2.83071688016256,2.83802801767985,2.58270402749379,3.24556527137756
"27","1602:142:373:2",0,3.12497495015462,3.77373612721761,3.23200065294902,3.50419624646505
"28","1602:142:374:1",0,3.12497495015462,3.77373612721761,3.23200065294902,3.50419624646505
"29","1602:141:468:4",0,2.98580860296885,2.36246834595998,2.50366778373718,3.49803088506063
"30","1602:141:469:3",0,2.98580860296885,2.36246834595998,2.50366778373718,3.49803088506063
"31","1602:141:469:4",0,2.85983225504557,2.42039351463318,2.47402408123016,3.45653694470723
"32","1602:142:360:3",0,2.85983225504557,2.42039351463318,2.47402408123016,3.45653694470723
"33","1602:142:360:4",0,2.97435234387716,2.66314562161764,2.58244067033132,3.59167054494222
"34","1602:142:361:3",0,2.97435234387716,2.66314562161764,2.58244067033132,3.59167054494222
"35","1602:142:361:4",0,2.96259172757467,2.61692326863607,2.59884169101715,3.56739106178284
"36","1602:142:362:3",0,2.96259172757467,2.61692326863607,2.59884169101715,3.56739106178284
"37","1602:142:362:4",0,3.08275012969971,3.32178753217061,3.08480602900187,3.56218199729919
"38","1602:142:363:3",0,3.08275012969971,3.32178753217061,3.08480602900187,3.56218199729919
"39","1602:142:363:4",0,3.07811562220256,3.27203238805135,3.04337361653646,3.46067066192627
"40","1602:142:364:3",0,3.07811562220256,3.27203238805135,3.04337361653646,3.46067066192627
"41","1602:141:469:2",0,2.99087397257487,1.99033649762472,2.48221346537272,3.56223206520081
"42","1602:142:360:1",0,2.99087397257487,1.99033649762472,2.48221346537272,3.56223206520081
"43","1602:142:360:2",0,3.15658237139384,2.43597447872162,2.6631102403005,3.78280876477559
"44","1602:142:361:1",0,3.15658237139384,2.43597447872162,2.6631102403005,3.78280876477559
"45","1602:142:361:2",0,3.23555925687154,3.09644292195638,2.94273090362549,3.84907519022624
"46","1602:142:362:1",0,3.23555925687154,3.09644292195638,2.94273090362549,3.84907519022624
"47","1602:142:362:2",0,3.16512506802877,2.96080363591512,2.99411036173503,3.68534669876099
"48","1602:142:363:1",0,3.16512506802877,2.96080363591512,2.99411036173503,3.68534669876099
"49","1602:141:459:4",0,3.38588401476542,2.82347717285156,3.00272048314412,3.99442598025004
"50","1602:142:350:3",0,3.38588401476542,2.82347717285156,3.00272048314412,3.99442598025004
"51","1602:142:350:4",0,3.40612324078878,2.96861411730448,2.99052416483561,4.07265607515971
"52","1602:142:351:3",0,3.40612324078878,2.96861411730448,2.99052416483561,4.07265607515971
"53","1602:142:351:4",0,3.36142506599426,2.79113225142161,2.71499276955922,3.98729286193848
"54","1602:142:352:3",0,3.36142506599426,2.79113225142161,2.71499276955922,3.98729286193848
"55","1602:141:459:2",0,3.63286318778992,3.09966406822205,3.31040821075439,4.22962573369344
"56","1602:142:350:1",0,3.63286318778992,3.09966406822205,3.31040821075439,4.22962573369344
"57","1602:142:351:2",0,3.5393594900767,3.16367632548014,3.02503396670024,4.19170831044515
"58","1602:142:352:1",0,3.5393594900767,3.16367632548014,3.02503396670024,4.19170831044515
"59","1602:142:352:2",0,3.39352615674337,2.729589955012,2.77185633182526,4.01708482106527
"60","1602:142:353:1",0,3.39352615674337,2.729589955012,2.77185633182526,4.01708482106527
"61","1602:142:142:4",0,3.5255477587382,3.09801383018494,3.02666829427083,4.16032307942708
"62","1602:142:143:3",0,3.5255477587382,3.09801383018494,3.02666829427083,4.16032307942708
"63","1602:142:143:4",0,3.5111487865448,3.45820554097493,3.17745178540548,4.21133581797282
"64","1602:142:144:3",0,3.5111487865448,3.45820554097493,3.17745178540548,4.21133581797282
"65","1602:142:142:2",0,3.6141570409139,3.36991190910339,3.16423530578613,4.26678924560547
"66","1602:142:143:1",0,3.6141570409139,3.36991190910339,3.16423530578613,4.26678924560547
"67","1602:142:143:2",0,3.57016838391622,3.64143303235372,3.19032724698385,4.32064027786255
"68","1602:142:144:1",0,3.57016838391622,3.64143303235372,3.19032724698385,4.32064027786255
